s,n,Re(f_ex.11),Im(f_ex.11),Abs(f_ex.11),Arg(f_ex.11),Re(f_ex.21),Im(f_ex.21),Abs(f_ex.21),Arg(f_ex.21),Re(f_ex.12),Im(f_ex.12),Abs(f_ex.12),Arg(f_ex.12),Re(f_ex.22),Im(f_ex.22),Abs(f_ex.22),Arg(f_ex.22)
+0.00000000E+00,+4.80000000E+01,-8.72676408E-01,+3.33335109E-01,+9.34171509E-01,+2.77672644E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.25635258E-01,-4.94438960E-01,+6.52407280E-01,-2.28155282E+00
+0.00000000E+00,+4.90000000E+01,-2.47030752E-01,+4.31284778E-01,+4.97021883E-01,+2.09095967E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.77399868E-01,-1.48624918E-01,+9.88635356E-01,-2.99068715E+00
+0.00000000E+00,+5.00000000E+01,-1.94994950E-02,-1.38272429E-01,+1.39640592E-01,-1.71089477E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.40551357E-01,+4.38332117E-01,+8.60552937E-01,+2.60715056E+00
+0.00000000E+00,+5.10000000E+01,-4.88630834E-01,-4.99870725E-01,+6.99021340E-01,-2.34482434E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.34441833E-01,+3.41126409E-01,+3.66663106E-01,+1.94621611E+00
+0.00000000E+00,+5.20000000E+01,-9.64297365E-01,-1.85547720E-01,+9.81986439E-01,-2.95149844E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.62965022E-02,-2.48799670E-01,+2.57481071E-01,-1.83121080E+00
+0.00000000E+00,+5.30000000E+01,-8.56658054E-01,+3.50421222E-01,+9.25558239E-01,+2.75330374E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.84585484E-01,-4.92793360E-01,+7.64581901E-01,-2.44118872E+00
+0.00000000E+00,+5.40000000E+01,-3.50505954E-01,+4.77128421E-01,+5.92035433E-01,+2.20437846E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.86346111E-01,-1.16049389E-01,+9.93149591E-01,-3.02447524E+00
+0.00000000E+00,+5.50000000E+01,-1.32661978E-02,+1.14412437E-01,+1.15178981E-01,+1.68623151E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.19689919E-01,+3.84445518E-01,+9.05367284E-01,+2.70304020E+00
+0.00000000E+00,+5.60000000E+01,-1.31059002E-01,-3.37464872E-01,+3.62020720E-01,-1.94123107E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.23695053E-01,+4.67885206E-01,+5.68942047E-01,+2.17601515E+00
+0.00000000E+00,+5.70000000E+01,-5.36894071E-01,-4.98636970E-01,+7.32730558E-01,-2.39312212E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.16151449E-02,+1.07145850E-01,+1.07773581E-01,+1.67877964E+00
+0.00000000E+00,+5.80000000E+01,-8.93468944E-01,-3.08516110E-01,+9.45234862E-01,-2.80910975E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.22904669E-01,-3.28327749E-01,+3.50577621E-01,-1.92898412E+00
+0.00000000E+00,+5.90000000E+01,-9.97935544E-01,+4.53893585E-02,+9.98967239E-01,+3.09614072E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.06480242E-01,-4.99958005E-01,+7.11674253E-01,-2.36267491E+00
+0.00000000E+00,+6.00000000E+01,-8.60344964E-01,+3.46628774E-01,+9.27547823E-01,+2.75859299E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.62922285E-01,-3.43929375E-01,+9.28936104E-01,-2.76232520E+00
+0.00000000E+00,+6.10000000E+01,-6.06801141E-01,+4.88460353E-01,+7.78974416E-01,+2.46382492E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.99764463E-01,-1.53454084E-02,+9.99882225E-01,-3.12624484E+00
+0.00000000E+00,+6.20000000E+01,-3.59717304E-01,+4.79917457E-01,+5.99764374E-01,+2.21400294E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.06316519E-01,+2.91387862E-01,+9.52006575E-01,+2.83052253E+00
+0.00000000E+00,+6.30000000E+01,-1.81226923E-01,+3.85206082E-01,+4.25707555E-01,+2.01054002E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.82811863E-01,+4.65381373E-01,+8.26324309E-01,+2.54334591E+00
+0.00000000E+00,+6.40000000E+01,-7.77029914E-02,+2.67703636E-01,+2.78752563E-01,+1.85329127E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.40847472E-01,+4.96488649E-01,+6.63963457E-01,+2.29690310E+00
+0.00000000E+00,+6.50000000E+01,-2.82365616E-02,+1.65647995E-01,+1.68037382E-01,+1.73963473E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.47996239E-01,+4.31849632E-01,+4.97992208E-01,+2.09207825E+00
+0.00000000E+00,+6.60000000E+01,-8.64926141E-03,+9.25983352E-02,+9.30014054E-02,+1.66393232E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.22673118E-01,+3.28061616E-01,+3.50247223E-01,+1.92863136E+00
+0.00000000E+00,+6.70000000E+01,-2.22769626E-03,+4.71458761E-02,+4.71984773E-02,+1.61801235E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.36843028E-02,+2.25393652E-01,+2.31698733E-01,+1.80461990E+00
+0.00000000E+00,+6.80000000E+01,-4.83977593E-04,+2.19941665E-02,+2.19994907E-02,+1.59279759E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.09396567E-02,+1.43182357E-01,+1.44705413E-01,+1.71601157E+00
+0.00000000E+00,+6.90000000E+01,-8.94671930E-05,+9.45828677E-03,+9.45870990E-03,+1.58025518E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.38478466E-03,+8.56168770E-02,+8.59347698E-02,+1.65683722E+00
+0.00000000E+00,+7.00000000E+01,-1.42394342E-05,+3.77349062E-03,+3.77351749E-03,+1.57456985E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.42406930E-03,+4.91751278E-02,+4.92348383E-02,+1.62005108E+00
+0.00000000E+00,+7.10000000E+01,-1.97514087E-06,+1.40539566E-03,+1.40539705E-03,+1.57220172E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.85088100E-04,+2.80084226E-02,+2.80194236E-02,+1.59881942E+00
+0.00000000E+00,+7.20000000E+01,-2.41383781E-07,+4.91308175E-04,+4.91308234E-04,+1.57128764E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.86237142E-04,+1.69161228E-02,+1.69185443E-02,+1.58771568E+00
+0.00000000E+00,+7.30000000E+01,-2.62282982E-08,+1.61951528E-04,+1.61951530E-04,+1.57095828E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.82398219E-04,+1.35042567E-02,+1.35054885E-02,+1.58430223E+00
+0.00000000E+00,+7.40000000E+01,-2.55277013E-09,+5.05249455E-05,+5.05249456E-05,+1.57084685E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.67064015E-04,-2.58189667E-02,+2.58275824E-02,-1.59662678E+00
+0.00000000E+00,+7.50000000E+01,-2.23919150E-10,+1.49639283E-05,+1.49639283E-05,+1.57081129E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.22974287E-06,-1.10893704E-03,+1.10893772E-03,-1.57190526E+00
+0.00000000E+00,+7.60000000E+01,-1.77926766E-11,+4.21813660E-06,+4.21813660E-06,+1.57080054E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.32909907E-08,-1.82458186E-04,+1.82458189E-04,-1.57097878E+00
+0.00000000E+00,+7.70000000E+01,-1.28640394E-12,+1.13419748E-06,+1.13419748E-06,+1.57079746E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.32253405E-09,-3.63666612E-05,+3.63666612E-05,-1.57083269E+00
+0.00000000E+00,+7.80000000E+01,-8.49520425E-14,+2.91465327E-07,+2.91465327E-07,+1.57079662E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.89224705E-11,-7.67609729E-06,+7.67609729E-06,-1.57080400E+00
+0.00000000E+00,+7.90000000E+01,-5.14181353E-15,+7.17064040E-08,+7.17064040E-08,+1.57079640E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.69586189E-12,-1.64190800E-06,+1.64190800E-06,-1.57079797E+00
+0.00000000E+00,+8.00000000E+01,-2.86112542E-16,+1.69148522E-08,+1.69148522E-08,+1.57079634E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.21851091E-13,-3.49071712E-07,+3.49071712E-07,-1.57079668E+00
+0.00000000E+00,+8.10000000E+01,-1.46772294E-17,+3.83107855E-09,+3.83107855E-09,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.33451416E-15,-7.30377179E-08,+7.30377179E-08,-1.57079640E+00
+0.00000000E+00,+8.20000000E+01,-6.95949026E-19,+8.34193397E-10,+8.34193397E-10,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.23735973E-16,-1.49578068E-08,+1.49578068E-08,-1.57079634E+00
+0.00000000E+00,+8.30000000E+01,-3.05699209E-20,+1.74827647E-10,+1.74827647E-10,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.93308910E-18,-2.98880032E-09,+2.98880032E-09,-1.57079633E+00
+0.00000000E+00,+8.40000000E+01,-1.24665696E-21,+3.53034085E-11,+3.53034085E-11,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.38289605E-19,-5.81594211E-10,+5.81594211E-10,-1.57079633E+00
+0.00000000E+00,+8.50000000E+01,-4.79716808E-23,+6.87570741E-12,+6.87570741E-12,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.21374734E-20,-1.10093959E-10,+1.10093959E-10,-1.57079633E+00
+0.00000000E+00,+8.60000000E+01,-1.69762982E-24,+1.29274552E-12,+1.29274552E-12,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.12585842E-22,-2.02612724E-11,+2.02612724E-11,-1.57079633E+00
+0.00000000E+00,+8.70000000E+01,-5.38441394E-26,+2.34842802E-13,+2.34842802E-13,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.30391157E-23,-3.62416334E-12,+3.62416334E-12,-1.57079633E+00
+0.00000000E+00,+8.80000000E+01,-2.33661336E-27,+4.12533745E-14,+4.12533745E-14,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.67968583E-25,-6.30023222E-13,+6.30023222E-13,-1.57079633E+00
+0.00000000E+00,+8.90000000E+01,-1.45046433E-28,+7.01273398E-15,+7.01273398E-15,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.30868158E-26,-1.06449848E-13,+1.06449848E-13,-1.57079633E+00
+0.00000000E+00,+9.00000000E+01,+1.47145967E-29,+1.15443314E-15,+1.15443314E-15,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.21207321E-29,-1.74842671E-14,+1.74842671E-14,-1.57079633E+00
+0.00000000E+00,+9.10000000E+01,+4.74824034E-31,+1.84159280E-16,+1.84159280E-16,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.61046422E-29,-2.79233033E-15,+2.79233033E-15,-1.57079633E+00
+0.00000000E+00,+9.20000000E+01,-3.88134903E-31,+2.84862442E-17,+2.84862442E-17,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.36382265E-30,-4.33736354E-16,+4.33736354E-16,-1.57079633E+00
+0.00000000E+00,+9.30000000E+01,+1.51062355E-31,+4.27515354E-18,+4.27515354E-18,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+2.42274505E-30,-6.55481377E-17,+6.55481377E-17,-1.57079633E+00
+0.00000000E+00,+9.40000000E+01,+1.32696425E-32,+6.22855497E-19,+6.22855497E-19,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.53167443E-31,-9.64083698E-18,+9.64083698E-18,-1.57079633E+00
+0.00000000E+00,+9.50000000E+01,+3.96856845E-33,+8.81399928E-20,+8.81399928E-20,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.10856444E-32,-1.38050672E-18,+1.38050672E-18,-1.57079633E+00
+0.00000000E+00,+9.60000000E+01,-2.35980682E-34,+1.21207001E-20,+1.21207001E-20,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+5.83471269E-33,-1.92523647E-19,+1.92523647E-19,-1.57079633E+00
