s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+0.00000000E+00,+7.10373969E-01,-9.49132946E-14,+8.47753433E-01,+8.47753433E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.72294162E-14,+7.73884775E-01,+7.73884775E-01,+1.57079633E+00
+0.00000000E+00,+7.26160057E-01,+6.68580631E-14,+8.44655255E-01,+8.44655255E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.00650058E-14,+7.67789267E-01,+7.67789267E-01,+1.57079633E+00
+0.00000000E+00,+7.41946146E-01,-5.21576411E-14,+8.41515658E-01,+8.41515658E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.89025313E-14,+7.61609772E-01,+7.61609772E-01,+1.57079633E+00
+0.00000000E+00,+7.57732234E-01,-2.00213417E-14,+8.38335981E-01,+8.38335981E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23992710E-15,+7.55348790E-01,+7.55348790E-01,+1.57079633E+00
+0.00000000E+00,+7.73518322E-01,+4.63843017E-14,+8.35117558E-01,+8.35117558E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.12185513E-14,+7.49008818E-01,+7.49008818E-01,+1.57079633E+00
+0.00000000E+00,+7.89304410E-01,-9.24226021E-14,+8.31861725E-01,+8.31861725E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.30450803E-14,+7.42592349E-01,+7.42592349E-01,+1.57079633E+00
+0.00000000E+00,+8.05090498E-01,+5.93001963E-14,+8.28569810E-01,+8.28569810E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.18504602E-14,+7.36101868E-01,+7.36101868E-01,+1.57079633E+00
+0.00000000E+00,+8.20876587E-01,-3.86530146E-14,+8.25243139E-01,+8.25243139E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.41974681E-14,+7.29539851E-01,+7.29539851E-01,+1.57079633E+00
+0.00000000E+00,+8.36662675E-01,-3.79412685E-14,+8.21883032E-01,+8.21883032E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.47425443E-14,+7.22908765E-01,+7.22908765E-01,+1.57079633E+00
+0.00000000E+00,+8.52448763E-01,+5.89237838E-14,+8.18490801E-01,+8.18490801E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.99987288E-14,+7.16211064E-01,+7.16211064E-01,+1.57079633E+00
+0.00000000E+00,+8.68234851E-01,-8.75303795E-14,+8.15067751E-01,+8.15067751E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.70012951E-14,+7.09449184E-01,+7.09449184E-01,+1.57079633E+00
+0.00000000E+00,+8.84020939E-01,+3.35674855E-14,+8.11615180E-01,+8.11615180E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.70187450E-14,+7.02625550E-01,+7.02625550E-01,+1.57079633E+00
+0.00000000E+00,+8.99807028E-01,+1.24731234E-15,+8.08134375E-01,+8.08134375E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.96096220E-14,+6.95742566E-01,+6.95742566E-01,+1.57079633E+00
+0.00000000E+00,+9.15593116E-01,-7.12819048E-14,+8.04626611E-01,+8.04626611E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.40898341E-14,+6.88802617E-01,+6.88802617E-01,+1.57079633E+00
+0.00000000E+00,+9.31379204E-01,+6.52461599E-14,+8.01093156E-01,+8.01093156E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.19235366E-14,+6.81808068E-01,+6.81808068E-01,+1.57079633E+00
+0.00000000E+00,+9.47165292E-01,-5.51653126E-14,+7.97535262E-01,+7.97535262E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.85556824E-14,+6.74761259E-01,+6.74761259E-01,+1.57079633E+00
+0.00000000E+00,+9.62951380E-01,-2.34577748E-14,+7.93954171E-01,+7.93954171E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.08927510E-15,+6.67664508E-01,+6.67664508E-01,+1.57079633E+00
+0.00000000E+00,+9.78737469E-01,+5.30505076E-14,+7.90351111E-01,+7.90351111E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.13550157E-14,+6.60520109E-01,+6.60520109E-01,+1.57079633E+00
+0.00000000E+00,+9.94523557E-01,-8.08211299E-14,+7.86727294E-01,+7.86727294E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.03421082E-14,+6.53330328E-01,+6.53330328E-01,+1.57079633E+00
+0.00000000E+00,+1.01030964E+00,+2.09194555E-14,+7.83083920E-01,+7.83083920E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.26343655E-14,+6.46097402E-01,+6.46097402E-01,+1.57079633E+00
+0.00000000E+00,+1.02609573E+00,+2.17736025E-14,+7.79422173E-01,+7.79422173E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.41481069E-14,+6.38823543E-01,+6.38823543E-01,+1.57079633E+00
+0.00000000E+00,+1.04188182E+00,-7.98649230E-14,+7.75743220E-01,+7.75743220E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.89666008E-14,+6.31510929E-01,+6.31510929E-01,+1.57079633E+00
+0.00000000E+00,+1.05766791E+00,+4.74788055E-14,+7.72048212E-01,+7.72048212E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.34995704E-14,+6.24161711E-01,+6.24161711E-01,+1.57079633E+00
+0.00000000E+00,+1.07345400E+00,-9.12782005E-15,+7.68338284E-01,+7.68338284E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.42515786E-15,+6.16778005E-01,+6.16778005E-01,+1.57079633E+00
+0.00000000E+00,+1.08924009E+00,-6.66142231E-14,+7.64614554E-01,+7.64614554E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.75723175E-14,+6.09361899E-01,+6.09361899E-01,+1.57079633E+00
+0.00000000E+00,+1.10502617E+00,+5.82652610E-14,+7.60878119E-01,+7.60878119E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.99272860E-14,+6.01915442E-01,+6.01915442E-01,+1.57079633E+00
+0.00000000E+00,+1.12081226E+00,-3.05925419E-14,+7.57130062E-01,+7.57130062E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.02095508E-15,+5.94440655E-01,+5.94440655E-01,+1.57079633E+00
+0.00000000E+00,+1.13659835E+00,-5.13479922E-14,+7.53371446E-01,+7.53371446E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.64406214E-14,+5.86939520E-01,+5.86939520E-01,+1.57079633E+00
+0.00000000E+00,+1.15238444E+00,+6.03539321E-14,+7.49603314E-01,+7.49603314E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.99862776E-14,+5.79413985E-01,+5.79413985E-01,+1.57079633E+00
+0.00000000E+00,+1.16817053E+00,-4.14915419E-14,+7.45826692E-01,+7.45826692E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.78622494E-14,+5.71865965E-01,+5.71865965E-01,+1.57079633E+00
+0.00000000E+00,+1.18395662E+00,-4.35281179E-14,+7.42042585E-01,+7.42042585E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.93255371E-14,+5.64297334E-01,+5.64297334E-01,+1.57079633E+00
+0.00000000E+00,+1.19974270E+00,+5.96707404E-14,+7.38251979E-01,+7.38251979E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.84363492E-14,+5.56709934E-01,+5.56709934E-01,+1.57079633E+00
+0.00000000E+00,+1.21552879E+00,-4.36638473E-14,+7.34455840E-01,+7.34455840E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.91210270E-14,+5.49105567E-01,+5.49105567E-01,+1.57079633E+00
+0.00000000E+00,+1.23131488E+00,-4.25405838E-14,+7.30655116E-01,+7.30655116E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.82170943E-14,+5.41486000E-01,+5.41486000E-01,+1.57079633E+00
+0.00000000E+00,+1.24710097E+00,+5.86760624E-14,+7.26850731E-01,+7.26850731E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.51931244E-14,+5.33852962E-01,+5.33852962E-01,+1.57079633E+00
+0.00000000E+00,+1.26288706E+00,-3.75114686E-14,+7.23043594E-01,+7.23043594E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.47577510E-14,+5.26208143E-01,+5.26208143E-01,+1.57079633E+00
+0.00000000E+00,+1.27867314E+00,-4.90518563E-14,+7.19234589E-01,+7.19234589E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.29578625E-14,+5.18553196E-01,+5.18553196E-01,+1.57079633E+00
+0.00000000E+00,+1.29445923E+00,+5.62511844E-14,+7.15424583E-01,+7.15424583E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.18964881E-14,+5.10889738E-01,+5.10889738E-01,+1.57079633E+00
+0.00000000E+00,+1.31024532E+00,-2.32230677E-14,+7.11614421E-01,+7.11614421E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.39018066E-15,+5.03219345E-01,+5.03219345E-01,+1.57079633E+00
+0.00000000E+00,+1.32603141E+00,-6.02809208E-14,+7.07804928E-01,+7.07804928E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.04404294E-14,+4.95543558E-01,+4.95543558E-01,+1.57079633E+00
+0.00000000E+00,+1.34181750E+00,+4.90359812E-14,+7.03996909E-01,+7.03996909E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.43381576E-14,+4.87863879E-01,+4.87863879E-01,+1.57079633E+00
+0.00000000E+00,+1.35760359E+00,+1.40806388E-15,+7.00191148E-01,+7.00191148E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.46371941E-14,+4.80181770E-01,+4.80181770E-01,+1.57079633E+00
+0.00000000E+00,+1.37338967E+00,-9.36371242E-16,+6.96388411E-01,+6.96388411E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.10734426E-14,+4.72498659E-01,+4.72498659E-01,+1.57079633E+00
+0.00000000E+00,+1.38917576E+00,-1.62250468E-15,+6.92589441E-01,+6.92589441E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.13130559E-15,+4.64815935E-01,+4.64815935E-01,+1.57079633E+00
+0.00000000E+00,+1.40496185E+00,-3.00204473E-15,+6.88794962E-01,+6.88794962E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.25424551E-16,+4.57134949E-01,+4.57134949E-01,+1.57079633E+00
+0.00000000E+00,+1.42074794E+00,+8.70544252E-16,+6.85005680E-01,+6.85005680E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.20880440E-15,+4.49457015E-01,+4.49457015E-01,+1.57079633E+00
