theta1,theta_2,Re(r_ibc01p.11),Im(r_ibc01p.11),Abs(r_ibc01p.11),Arg(r_ibc01p.11),Re(r_ibc01p.21),Im(r_ibc01p.21),Abs(r_ibc01p.21),Arg(r_ibc01p.21),Re(r_ibc01p.12),Im(r_ibc01p.12),Abs(r_ibc01p.12),Arg(r_ibc01p.12),Re(r_ibc01p.22),Im(r_ibc01p.22),Abs(r_ibc01p.22),Arg(r_ibc01p.22)
+3.00000000E+01,+0.00000000E+00,+8.50866200E-01,-3.71526078E-01,+9.28442199E-01,-4.11692189E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.34089673E-01,-3.62840430E-01,+1.00208617E+00,-3.70503763E-01
+3.06638297E+01,+0.00000000E+00,+8.48918664E-01,-3.72169698E-01,+9.26915952E-01,-4.13169312E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.34493514E-01,-3.59351706E-01,+1.00120516E+00,-3.67109626E-01
+3.13322515E+01,+0.00000000E+00,+8.46898034E-01,-3.72846927E-01,+9.25338376E-01,-4.14716373E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.34905191E-01,-3.55794006E-01,+1.00031850E+00,-3.63642318E-01
+3.20054548E+01,+0.00000000E+00,+8.44801055E-01,-3.73559706E-01,+9.23707571E-01,-4.16337334E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.35324904E-01,-3.52167090E-01,+9.99427003E-01,-3.60101255E-01
+3.26836388E+01,+0.00000000E+00,+8.42624227E-01,-3.74310113E-01,+9.22021501E-01,-4.18036474E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.35752876E-01,-3.48470682E-01,+9.98531553E-01,-3.56485810E-01
+3.33670130E+01,+0.00000000E+00,+8.40363776E-01,-3.75100381E-01,+9.20277987E-01,-4.19818419E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.36189363E-01,-3.44704462E-01,+9.97633043E-01,-3.52795306E-01
+3.40557977E+01,+0.00000000E+00,+8.38015634E-01,-3.75932912E-01,+9.18474691E-01,-4.21688179E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.36634650E-01,-3.40868061E-01,+9.96732413E-01,-3.49029014E-01
+3.47502258E+01,+0.00000000E+00,+8.35575403E-01,-3.76810291E-01,+9.16609105E-01,-4.23651188E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.37089060E-01,-3.36961058E-01,+9.95830639E-01,-3.45186150E-01
+3.54505426E+01,+0.00000000E+00,+8.33038325E-01,-3.77735306E-01,+9.14678529E-01,-4.25713345E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.37552951E-01,-3.32982973E-01,+9.94928739E-01,-3.41265863E-01
+3.61570082E+01,+0.00000000E+00,+8.30399240E-01,-3.78710965E-01,+9.12680060E-01,-4.27881073E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.38026723E-01,-3.28933261E-01,+9.94027777E-01,-3.37267238E-01
+3.68698976E+01,+0.00000000E+00,+8.27652545E-01,-3.79740522E-01,+9.10610564E-01,-4.30161373E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.38510816E-01,-3.24811305E-01,+9.93128862E-01,-3.33189281E-01
+3.75895030E+01,+0.00000000E+00,+8.24792143E-01,-3.80827499E-01,+9.08466655E-01,-4.32561892E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.39005721E-01,-3.20616411E-01,+9.92233152E-01,-3.29030916E-01
+3.83161345E+01,+0.00000000E+00,+8.21811387E-01,-3.81975717E-01,+9.06244671E-01,-4.35091000E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.39511977E-01,-3.16347794E-01,+9.91341859E-01,-3.24790978E-01
+3.90501225E+01,+0.00000000E+00,+8.18703014E-01,-3.83189326E-01,+9.03940642E-01,-4.37757878E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.40030178E-01,-3.12004573E-01,+9.90456252E-01,-3.20468199E-01
+3.97918195E+01,+0.00000000E+00,+8.15459070E-01,-3.84472843E-01,+9.01550255E-01,-4.40572618E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.40560976E-01,-3.07585757E-01,+9.89577661E-01,-3.16061202E-01
+4.05416019E+01,+0.00000000E+00,+8.12070826E-01,-3.85831195E-01,+8.99068817E-01,-4.43546345E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.41105088E-01,-3.03090235E-01,+9.88707478E-01,-3.11568483E-01
+4.12998728E+01,+0.00000000E+00,+8.08528676E-01,-3.87269762E-01,+8.96491209E-01,-4.46691348E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.41663303E-01,-2.98516762E-01,+9.87847171E-01,-3.06988407E-01
+4.20670648E+01,+0.00000000E+00,+8.04822020E-01,-3.88794439E-01,+8.93811837E-01,-4.50021242E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.42236481E-01,-2.93863942E-01,+9.86998279E-01,-3.02319182E-01
+4.28436430E+01,+0.00000000E+00,+8.00939132E-01,-3.90411689E-01,+8.91024568E-01,-4.53551152E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.42825568E-01,-2.89130208E-01,+9.86162425E-01,-2.97558849E-01
+4.36301089E+01,+0.00000000E+00,+7.96867001E-01,-3.92128626E-01,+8.88122670E-01,-4.57297936E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.43431600E-01,-2.84313806E-01,+9.85341324E-01,-2.92705257E-01
+4.44270040E+01,+0.00000000E+00,+7.92591139E-01,-3.93953090E-01,+8.85098724E-01,-4.61280439E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.44055711E-01,-2.79412768E-01,+9.84536785E-01,-2.87756042E-01
+4.52349153E+01,+0.00000000E+00,+7.88095367E-01,-3.95893749E-01,+8.81944537E-01,-4.65519804E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.44699146E-01,-2.74424885E-01,+9.83750727E-01,-2.82708599E-01
+4.60544804E+01,+0.00000000E+00,+7.83361546E-01,-3.97960211E-01,+8.78651035E-01,-4.70039838E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.45363267E-01,-2.69347677E-01,+9.82985187E-01,-2.77560053E-01
+4.68863941E+01,+0.00000000E+00,+7.78369265E-01,-4.00163159E-01,+8.75208127E-01,-4.74867453E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.46049572E-01,-2.64178352E-01,+9.82242329E-01,-2.72307219E-01
+4.77314156E+01,+0.00000000E+00,+7.73095460E-01,-4.02514506E-01,+8.71604565E-01,-4.80033202E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.46759705E-01,-2.58913767E-01,+9.81524466E-01,-2.66946559E-01
+4.85903779E+01,+0.00000000E+00,+7.67513954E-01,-4.05027582E-01,+8.67827755E-01,-4.85571927E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.47495475E-01,-2.53550374E-01,+9.80834067E-01,-2.61474134E-01
+4.94641979E+01,+0.00000000E+00,+7.61594898E-01,-4.07717355E-01,+8.63863548E-01,-4.91523556E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.48258878E-01,-2.48084160E-01,+9.80173785E-01,-2.55885545E-01
+5.03538889E+01,+0.00000000E+00,+7.55304074E-01,-4.10600694E-01,+8.59695978E-01,-4.97934090E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.49052114E-01,-2.42510576E-01,+9.79546474E-01,-2.50175856E-01
+5.12605754E+01,+0.00000000E+00,+7.48602046E-01,-4.13696689E-01,+8.55306948E-01,-5.04856826E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.49877623E-01,-2.36824448E-01,+9.78955218E-01,-2.44339511E-01
+5.21855115E+01,+0.00000000E+00,+7.41443087E-01,-4.17027034E-01,+8.50675848E-01,-5.12353905E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.50738110E-01,-2.31019873E-01,+9.78403361E-01,-2.38370231E-01
+5.31301024E+01,+0.00000000E+00,+7.33773824E-01,-4.20616495E-01,+8.45779085E-01,-5.20498266E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.51636590E-01,-2.25090092E-01,+9.77894549E-01,-2.32260885E-01
+5.40959314E+01,+0.00000000E+00,+7.25531518E-01,-4.24493487E-01,+8.40589498E-01,-5.29376164E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.52576430E-01,-2.19027330E-01,+9.77432773E-01,-2.26003331E-01
+5.50847938E+01,+0.00000000E+00,+7.16641837E-01,-4.28690780E-01,+8.35075630E-01,-5.39090432E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.53561414E-01,-2.12822600E-01,+9.77022430E-01,-2.19588223E-01
+5.60987380E+01,+0.00000000E+00,+7.07015951E-01,-4.33246381E-01,+8.29200809E-01,-5.49764781E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.54595809E-01,-2.06465460E-01,+9.76668390E-01,-2.13004766E-01
+5.71401196E+01,+0.00000000E+00,+6.96546684E-01,-4.38204639E-01,+8.22921982E-01,-5.61549522E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.55684458E-01,-1.99943692E-01,+9.76376087E-01,-2.06240400E-01
+5.82116694E+01,+0.00000000E+00,+6.85103338E-01,-4.43617637E-01,+8.16188208E-01,-5.74629345E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.56832895E-01,-1.93242903E-01,+9.76151632E-01,-1.99280398E-01
+5.93165829E+01,+0.00000000E+00,+6.72524623E-01,-4.49546965E-01,+8.08938713E-01,-5.89234026E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.58047489E-01,-1.86345994E-01,+9.76001957E-01,-1.92107339E-01
+6.04586395E+01,+0.00000000E+00,+6.58608789E-01,-4.56065992E-01,+8.01100322E-01,-6.05653517E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.59335640E-01,-1.79232454E-01,+9.75935009E-01,-1.84700401E-01
+6.16423634E+01,+0.00000000E+00,+6.43099591E-01,-4.63262780E-01,+7.92584057E-01,-6.24259652E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.60706034E-01,-1.71877400E-01,+9.75960001E-01,-1.77034408E-01
+6.28732469E+01,+0.00000000E+00,+6.25665793E-01,-4.71243859E-01,+7.83280575E-01,-6.45538199E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.62168998E-01,-1.64250253E-01,+9.76087765E-01,-1.69078501E-01
+6.41580672E+01,+0.00000000E+00,+6.05870391E-01,-4.80139066E-01,+7.73053978E-01,-6.70137609E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.63736990E-01,-1.56312841E-01,+9.76331240E-01,-1.60794252E-01
+6.55053515E+01,+0.00000000E+00,+5.83122868E-01,-4.90107654E-01,+7.61733413E-01,-6.98945753E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.65425313E-01,-1.48016627E-01,+9.76706177E-01,-1.52132889E-01
+6.69260819E+01,+0.00000000E+00,+5.56602121E-01,-5.01345635E-01,+7.49101707E-01,-7.33215698E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.67253180E-01,-1.39298479E-01,+9.77232204E-01,-1.43031077E-01
+6.84348150E+01,+0.00000000E+00,+5.25126099E-01,-5.14093343E-01,+7.34880525E-01,-7.74782176E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.69245381E-01,-1.30073963E-01,+9.77934479E-01,-1.33404213E-01
+7.00515564E+01,+0.00000000E+00,+4.86918137E-01,-5.28639040E-01,+7.18713090E-01,-8.26456862E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.71435039E-01,-1.20226071E-01,+9.78846435E-01,-1.23135174E-01
+7.18051277E+01,+0.00000000E+00,+4.39156409E-01,-5.45303329E-01,+7.00152892E-01,-8.92805727E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.73868480E-01,-1.09584967E-01,+9.80014633E-01,-1.12054072E-01
+7.37397953E+01,+0.00000000E+00,+3.77017902E-01,-5.64348423E-01,+6.78698490E-01,-9.81830593E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.76614689E-01,-9.78880158E-02,+9.81508184E-01,-9.98983221E-02
+7.59301323E+01,+0.00000000E+00,+2.91363298E-01,-5.85582633E-01,+6.54063905E-01,-1.10910152E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.79786200E-01,-8.46900676E-02,+9.83439579E-01,-8.62229843E-02
+7.85216590E+01,+0.00000000E+00,+1.61902749E-01,-6.06491437E-01,+6.27729530E-01,-1.30992965E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.83595334E-01,-6.91177041E-02,+9.86020810E-01,-7.01551454E-02
+8.18903855E+01,+0.00000000E+00,-7.13859697E-02,-6.09816860E-01,+6.13980911E-01,-1.68732729E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.88571355E-01,-4.89030131E-02,+9.89780192E-01,-4.94280770E-02
+9.00000000E+01,+0.00000000E+00,-1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+3.14159265E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00
