s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+0.00000000E+00,+0.00000000E+00,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01
+1.60714286E-02,+0.00000000E+00,+9.07884628E-01,-4.04415149E-01,+9.93884354E-01,-4.19061815E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.07953962E-01,-4.04389626E-01,+9.93937305E-01,-4.19009974E-01
+3.21428571E-02,+0.00000000E+00,+9.07744318E-01,-4.04345242E-01,+9.93727740E-01,-4.19055007E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08021732E-01,-4.04243092E-01,+9.93939607E-01,-4.18847559E-01
+4.82142857E-02,+0.00000000E+00,+9.07510216E-01,-4.04228780E-01,+9.93466506E-01,-4.19043804E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08134687E-01,-4.03998716E-01,+9.93943445E-01,-4.18576727E-01
+6.42857143E-02,+0.00000000E+00,+9.07181940E-01,-4.04065839E-01,+9.93100334E-01,-4.19028427E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08292838E-01,-4.03656270E-01,+9.93948824E-01,-4.18197267E-01
+8.03571429E-02,+0.00000000E+00,+9.06758954E-01,-4.03856525E-01,+9.92628780E-01,-4.19009181E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08496196E-01,-4.03215435E-01,+9.93955746E-01,-4.17708884E-01
+9.64285714E-02,+0.00000000E+00,+9.06240565E-01,-4.03600977E-01,+9.92051263E-01,-4.18986468E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08744777E-01,-4.02675797E-01,+9.93964218E-01,-4.17111195E-01
+1.12500000E-01,+0.00000000E+00,+9.05625915E-01,-4.03299363E-01,+9.91367073E-01,-4.18960783E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09038601E-01,-4.02036847E-01,+9.93974247E-01,-4.16403728E-01
+1.28571429E-01,+0.00000000E+00,+9.04913980E-01,-4.02951890E-01,+9.90575357E-01,-4.18932721E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09377692E-01,-4.01297978E-01,+9.93985842E-01,-4.15585925E-01
+1.44642857E-01,+0.00000000E+00,+9.04103565E-01,-4.02558798E-01,+9.89675120E-01,-4.18902980E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09762077E-01,-4.00458487E-01,+9.93999012E-01,-4.14657131E-01
+1.60714286E-01,+0.00000000E+00,+9.03193293E-01,-4.02120362E-01,+9.88665217E-01,-4.18872367E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.10191786E-01,-3.99517565E-01,+9.94013768E-01,-4.13616600E-01
+1.76785714E-01,+0.00000000E+00,+9.02181599E-01,-4.01636901E-01,+9.87544347E-01,-4.18841808E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.10666854E-01,-3.98474300E-01,+9.94030124E-01,-4.12463485E-01
+1.92857143E-01,+0.00000000E+00,+9.01066720E-01,-4.01108771E-01,+9.86311046E-01,-4.18812351E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.11187320E-01,-3.97327671E-01,+9.94048093E-01,-4.11196839E-01
+2.08928571E-01,+0.00000000E+00,+8.99846686E-01,-4.00536376E-01,+9.84963678E-01,-4.18785177E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.11753226E-01,-3.96076543E-01,+9.94067691E-01,-4.09815610E-01
+2.25000000E-01,+0.00000000E+00,+8.98519304E-01,-3.99920167E-01,+9.83500422E-01,-4.18761610E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.12364619E-01,-3.94719664E-01,+9.94088935E-01,-4.08318636E-01
+2.41071429E-01,+0.00000000E+00,+8.97082148E-01,-3.99260644E-01,+9.81919264E-01,-4.18743130E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.13021549E-01,-3.93255658E-01,+9.94111845E-01,-4.06704637E-01
+2.57142857E-01,+0.00000000E+00,+8.95532538E-01,-3.98558366E-01,+9.80217985E-01,-4.18731387E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.13724070E-01,-3.91683021E-01,+9.94136442E-01,-4.04972215E-01
+2.73214286E-01,+0.00000000E+00,+8.93867526E-01,-3.97813950E-01,+9.78394140E-01,-4.18728212E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.14472242E-01,-3.90000114E-01,+9.94162748E-01,-4.03119844E-01
+2.89285714E-01,+0.00000000E+00,+8.92083874E-01,-3.97028080E-01,+9.76445049E-01,-4.18735642E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.15266128E-01,-3.88205151E-01,+9.94190789E-01,-4.01145861E-01
+3.05357143E-01,+0.00000000E+00,+8.90178028E-01,-3.96201512E-01,+9.74367774E-01,-4.18755935E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.16105796E-01,-3.86296200E-01,+9.94220591E-01,-3.99048462E-01
+3.21428571E-01,+0.00000000E+00,+8.88146094E-01,-3.95335080E-01,+9.72159097E-01,-4.18791592E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.16991318E-01,-3.84271164E-01,+9.94252184E-01,-3.96825690E-01
+3.37500000E-01,+0.00000000E+00,+8.85983806E-01,-3.94429706E-01,+9.69815497E-01,-4.18845392E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.17922772E-01,-3.82127775E-01,+9.94285599E-01,-3.94475427E-01
+3.53571429E-01,+0.00000000E+00,+8.83686494E-01,-3.93486407E-01,+9.67333123E-01,-4.18920415E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.18900240E-01,-3.79863584E-01,+9.94320871E-01,-3.91995378E-01
+3.69642857E-01,+0.00000000E+00,+8.81249039E-01,-3.92506308E-01,+9.64707765E-01,-4.19020078E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.19923810E-01,-3.77475943E-01,+9.94358036E-01,-3.89383064E-01
+3.85714286E-01,+0.00000000E+00,+8.78665835E-01,-3.91490652E-01,+9.61934811E-01,-4.19148181E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.20993575E-01,-3.74961996E-01,+9.94397135E-01,-3.86635804E-01
+4.01785714E-01,+0.00000000E+00,+8.75930731E-01,-3.90440813E-01,+9.59009215E-01,-4.19308950E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.22109633E-01,-3.72318656E-01,+9.94438211E-01,-3.83750701E-01
+4.17857143E-01,+0.00000000E+00,+8.73036976E-01,-3.89358314E-01,+9.55925446E-01,-4.19507093E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23272089E-01,-3.69542593E-01,+9.94481311E-01,-3.80724620E-01
+4.33928571E-01,+0.00000000E+00,+8.69977148E-01,-3.88244845E-01,+9.52677437E-01,-4.19747866E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24481055E-01,-3.66630208E-01,+9.94526486E-01,-3.77554172E-01
+4.50000000E-01,+0.00000000E+00,+8.66743079E-01,-3.87102281E-01,+9.49258522E-01,-4.20037146E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25736648E-01,-3.63577611E-01,+9.94573789E-01,-3.74235687E-01
+4.66071429E-01,+0.00000000E+00,+8.63325759E-01,-3.85932709E-01,+9.45661367E-01,-4.20381517E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.27038994E-01,-3.60380596E-01,+9.94623280E-01,-3.70765193E-01
+4.82142857E-01,+0.00000000E+00,+8.59715232E-01,-3.84738457E-01,+9.41877890E-01,-4.20788380E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.28388224E-01,-3.57034606E-01,+9.94675025E-01,-3.67138376E-01
+4.98214286E-01,+0.00000000E+00,+8.55900473E-01,-3.83522123E-01,+9.37899162E-01,-4.21266068E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.29784479E-01,-3.53534703E-01,+9.94729091E-01,-3.63350558E-01
+5.14285714E-01,+0.00000000E+00,+8.51869241E-01,-3.82286618E-01,+9.33715300E-01,-4.21823999E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.31227909E-01,-3.49875523E-01,+9.94785555E-01,-3.59396646E-01
+5.30357143E-01,+0.00000000E+00,+8.47607907E-01,-3.81035210E-01,+9.29315337E-01,-4.22472847E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.32718673E-01,-3.46051233E-01,+9.94844500E-01,-3.55271097E-01
+5.46428571E-01,+0.00000000E+00,+8.43101251E-01,-3.79771577E-01,+9.24687066E-01,-4.23224750E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.34256939E-01,-3.42055479E-01,+9.94906015E-01,-3.50967857E-01
+5.62500000E-01,+0.00000000E+00,+8.38332220E-01,-3.78499873E-01,+9.19816864E-01,-4.24093568E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.35842887E-01,-3.37881320E-01,+9.94970198E-01,-3.46480307E-01
+5.78571429E-01,+0.00000000E+00,+8.33281634E-01,-3.77224800E-01,+9.14689472E-01,-4.25095189E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.37476711E-01,-3.33521159E-01,+9.95037158E-01,-3.41801187E-01
+5.94642857E-01,+0.00000000E+00,+8.27927841E-01,-3.75951704E-01,+9.09287740E-01,-4.26247911E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.39158616E-01,-3.28966660E-01,+9.95107014E-01,-3.36922515E-01
+6.10714286E-01,+0.00000000E+00,+8.22246284E-01,-3.74686686E-01,+9.03592311E-01,-4.27572903E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.40888823E-01,-3.24208645E-01,+9.95179894E-01,-3.31835491E-01
+6.26785714E-01,+0.00000000E+00,+8.16208987E-01,-3.73436731E-01,+8.97581251E-01,-4.29094793E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.42667570E-01,-3.19236977E-01,+9.95255945E-01,-3.26530377E-01
+6.42857143E-01,+0.00000000E+00,+8.09783904E-01,-3.72209877E-01,+8.91229579E-01,-4.30842391E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.44495115E-01,-3.14040423E-01,+9.95335325E-01,-3.20996361E-01
+6.58928571E-01,+0.00000000E+00,+8.02934125E-01,-3.71015412E-01,+8.84508703E-01,-4.32849619E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.46371735E-01,-3.08606480E-01,+9.95418214E-01,-3.15221387E-01
+6.75000000E-01,+0.00000000E+00,+7.95616869E-01,-3.69864131E-01,+8.77385707E-01,-4.35156688E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.48297735E-01,-3.02921171E-01,+9.95504812E-01,-3.09191954E-01
+6.91071429E-01,+0.00000000E+00,+7.87782211E-01,-3.68768642E-01,+8.69822466E-01,-4.37811631E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.50273445E-01,-2.96968794E-01,+9.95595342E-01,-3.02892867E-01
+7.07142857E-01,+0.00000000E+00,+7.79371443E-01,-3.67743765E-01,+8.61774519E-01,-4.40872302E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.52299230E-01,-2.90731614E-01,+9.95690059E-01,-2.96306929E-01
+7.23214286E-01,+0.00000000E+00,+7.70314955E-01,-3.66807033E-01,+8.53189621E-01,-4.44409038E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.54375493E-01,-2.84189470E-01,+9.95789253E-01,-2.89414558E-01
+7.39285714E-01,+0.00000000E+00,+7.60529438E-01,-3.65979341E-01,+8.44005867E-01,-4.48508238E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.56502684E-01,-2.77319292E-01,+9.95893255E-01,-2.82193303E-01
+7.55357143E-01,+0.00000000E+00,+7.49914145E-01,-3.65285788E-01,+8.34149226E-01,-4.53277265E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.58681309E-01,-2.70094470E-01,+9.96002447E-01,-2.74617221E-01
+7.71428571E-01,+0.00000000E+00,+7.38345814E-01,-3.64756789E-01,+8.23530240E-01,-4.58851294E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.60911940E-01,-2.62484042E-01,+9.96117276E-01,-2.66656069E-01
+7.87500000E-01,+0.00000000E+00,+7.25671631E-01,-3.64429560E-01,+8.12039543E-01,-4.65403052E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.63195233E-01,-2.54451621E-01,+9.96238267E-01,-2.58274242E-01
+8.03571429E-01,+0.00000000E+00,+7.11699273E-01,-3.64350134E-01,+7.99541666E-01,-4.73157045E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.65531951E-01,-2.45953948E-01,+9.96366043E-01,-2.49429335E-01
+8.19642857E-01,+0.00000000E+00,+6.96182467E-01,-3.64576140E-01,+7.85866267E-01,-4.82410869E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.67922989E-01,-2.36938910E-01,+9.96501359E-01,-2.40070170E-01
+8.35714286E-01,+0.00000000E+00,+6.78799440E-01,-3.65180705E-01,+7.70795451E-01,-4.93568199E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.70369420E-01,-2.27342735E-01,+9.96645138E-01,-2.30134013E-01
+8.51785714E-01,+0.00000000E+00,+6.59119695E-01,-3.66258031E-01,+7.54044904E-01,-5.07191738E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.72872554E-01,-2.17085939E-01,+9.96798531E-01,-2.19542539E-01
+8.67857143E-01,+0.00000000E+00,+6.36550736E-01,-3.67931532E-01,+7.35234963E-01,-5.24092067E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.75434025E-01,-2.06067226E-01,+9.96963007E-01,-2.08195758E-01
+8.83928571E-01,+0.00000000E+00,+6.10248526E-01,-3.70365918E-01,+7.13844645E-01,-5.45484878E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.78055937E-01,-1.94153939E-01,+9.97140495E-01,-1.95962512E-01
